cpp_line	cpp_opcode	cpp_value	cpp_status	cpp_connection	rust_const	notes
1136	SMSG_BATTLEGROUND_POINTS	0x294E	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlegroundPoints	-
1137	SMSG_BATTLENET_CHALLENGE_ABORT	0x2790	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlenetChallengeAbort	-
1138	SMSG_BATTLENET_CHALLENGE_START	0x278F	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlenetChallengeStart	-
1139	SMSG_BATTLENET_NOTIFICATION	0x2808	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlenetNotification	-
1140	SMSG_BATTLENET_RESPONSE	0x2807	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlenetResponse	-
1141	SMSG_BATTLE_NET_CONNECTION_STATUS	0x2809	STATUS_NEVER	CONNECTION_TYPE_REALM	BattleNetConnectionStatus	-
1142	SMSG_BATTLE_PAY_ACK_FAILED	0x2788	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayAckFailed	-
1143	SMSG_BATTLE_PAY_BATTLE_PET_DELIVERED	0x277D	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayBattlePetDelivered	-
1144	SMSG_BATTLE_PAY_COLLECTION_ITEM_DELIVERED	0x277E	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayCollectionItemDelivered	-
1145	SMSG_BATTLE_PAY_CONFIRM_PURCHASE	0x2787	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayConfirmPurchase	-
1146	SMSG_BATTLE_PAY_DELIVERY_ENDED	0x277B	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayDeliveryEnded	-
1147	SMSG_BATTLE_PAY_DELIVERY_STARTED	0x277A	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayDeliveryStarted	-
1148	SMSG_BATTLE_PAY_DISTRIBUTION_ASSIGN_VAS_RESPONSE	0x2888	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayDistributionAssignVasResponse	-
1149	SMSG_BATTLE_PAY_DISTRIBUTION_UNREVOKED	0x2778	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayDistributionUnrevoked	-
1150	SMSG_BATTLE_PAY_DISTRIBUTION_UPDATE	0x2779	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayDistributionUpdate	-
1151	SMSG_BATTLE_PAY_GET_DISTRIBUTION_LIST_RESPONSE	0x2777	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayGetDistributionListResponse	-
1152	SMSG_BATTLE_PAY_GET_PRODUCT_LIST_RESPONSE	0x2775	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayGetProductListResponse	-
1153	SMSG_BATTLE_PAY_GET_PURCHASE_LIST_RESPONSE	0x2776	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayGetPurchaseListResponse	-
1154	SMSG_BATTLE_PAY_MOUNT_DELIVERED	0x277C	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayMountDelivered	-
1155	SMSG_BATTLE_PAY_PURCHASE_UPDATE	0x2786	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayPurchaseUpdate	-
1156	SMSG_BATTLE_PAY_START_CHECKOUT	0x2824	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayStartCheckout	-
1157	SMSG_BATTLE_PAY_START_DISTRIBUTION_ASSIGN_TO_TARGET_RESPONSE	0x2784	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayStartDistributionAssignToTargetResponse	-
1158	SMSG_BATTLE_PAY_START_PURCHASE_RESPONSE	0x2783	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayStartPurchaseResponse	-
1159	SMSG_BATTLE_PAY_VALIDATE_PURCHASE_RESPONSE	0x2818	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePayValidatePurchaseResponse	-
1160	SMSG_BATTLE_PETS_HEALED	0x25F3	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePetsHealed	-
1161	SMSG_BATTLE_PET_CAGE_DATE_ERROR	0x2678	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePetCageDateError	-
1162	SMSG_BATTLE_PET_DELETED	0x25F0	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlePetDeleted	-
1163	SMSG_BATTLE_PET_ERROR	0x2638	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlePetError	-
1164	SMSG_BATTLE_PET_JOURNAL	0x25EF	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlePetJournal	-
1165	SMSG_BATTLE_PET_JOURNAL_LOCK_ACQUIRED	0x25ED	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlePetJournalLockAcquired	-
1166	SMSG_BATTLE_PET_JOURNAL_LOCK_DENIED	0x25EE	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlePetJournalLockDenied	-
1167	SMSG_BATTLE_PET_RESTORED	0x25F2	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePetRestored	-
1168	SMSG_BATTLE_PET_REVOKED	0x25F1	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePetRevoked	-
1169	SMSG_BATTLE_PET_TRAP_LEVEL	0x25EB	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlePetTrapLevel	-
1170	SMSG_BATTLE_PET_UPDATES	0x25EA	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlePetUpdates	-
1171	SMSG_BIND_POINT_UPDATE	0x257D	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	BindPointUpdate	-
1172	SMSG_BLACK_MARKET_BID_ON_ITEM_RESULT	0x2628	STATUS_NEVER	CONNECTION_TYPE_REALM	BlackMarketBidOnItemResult	-
1173	SMSG_BLACK_MARKET_OUTBID	0x2629	STATUS_NEVER	CONNECTION_TYPE_REALM	BlackMarketOutbid	-
1174	SMSG_BLACK_MARKET_REQUEST_ITEMS_RESULT	0x2627	STATUS_NEVER	CONNECTION_TYPE_REALM	BlackMarketRequestItemsResult	-
1175	SMSG_BLACK_MARKET_WON	0x262A	STATUS_NEVER	CONNECTION_TYPE_REALM	BlackMarketWon	-
1176	SMSG_BONUS_ROLL_EMPTY	0x2645	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BonusRollEmpty	-
1177	SMSG_BOSS_KILL	0x2951	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	BossKill	-
1178	SMSG_BREAK_TARGET	0x293C	STATUS_NEVER	CONNECTION_TYPE_REALM	BreakTarget	-
1179	SMSG_BROADCAST_ACHIEVEMENT	0x2BBC	STATUS_NEVER	CONNECTION_TYPE_REALM	BroadcastAchievement	-
