cpp_line	cpp_opcode	cpp_value	cpp_status	cpp_processing	cpp_handler	cpp_handler_file	cpp_handler_line	cpp_owner_doc	rust_const	rust_registered	rust_file	rust_handler	rust_status	rust_processing	notes
686	CMSG_MOVE_START_SWIM	0x39FC	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStartSwim	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
687	CMSG_MOVE_START_TURN_LEFT	0x39EC	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStartTurnLeft	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
688	CMSG_MOVE_START_TURN_RIGHT	0x39ED	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStartTurnRight	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
689	CMSG_MOVE_STOP	0x39E6	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStop	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
690	CMSG_MOVE_STOP_ASCEND	0x3A2A	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStopAscend	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
691	CMSG_MOVE_STOP_PITCH	0x39F1	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStopPitch	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
692	CMSG_MOVE_STOP_STRAFE	0x39E9	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStopStrafe	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
693	CMSG_MOVE_STOP_SWIM	0x39FD	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStopSwim	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
694	CMSG_MOVE_STOP_TURN	0x39EE	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStopTurn	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
695	CMSG_MOVE_TELEPORT_ACK	0x39FA	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMoveTeleportAck	game/Handlers/MovementHandler.cpp	263	handlers.md	MoveTeleportAck	yes	crates/wow-world/src/handlers/movement.rs	handle_move_teleport_ack	LoggedIn	ThreadSafe	-
696	CMSG_MOVE_TIME_SKIPPED	0x3A1B	STATUS_LOGGEDIN	PROCESS_INPLACE	HandleMoveTimeSkippedOpcode	game/Handlers/MovementHandler.cpp	721	handlers.md	MoveTimeSkipped	yes	crates/wow-world/src/handlers/movement.rs	handle_move_time_skipped	LoggedIn	Inplace	-
697	CMSG_MOVE_UPDATE_FALL_SPEED	0x3A1A	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveUpdateFallSpeed	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
698	CMSG_MOVE_WATER_WALK_ACK	0x3A1D	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementAckMessage	game/Handlers/MovementHandler.cpp	565	handlers.md	MoveWaterWalkAck	yes	crates/wow-world/src/handlers/movement.rs	handle_movement_ack_message	LoggedIn	ThreadSafe	-
699	CMSG_MYTHIC_PLUS_REQUEST_MAP_STATS	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
700	CMSG_NEUTRAL_PLAYER_SELECT_FACTION	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
701	CMSG_NEXT_CINEMATIC_CAMERA	0x3544	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleNextCinematicCamera	game/Handlers/MiscHandler.cpp	774	handlers.md	NextCinematicCamera	no	-	-	-	-	missing_rust_dispatch
