key	cxx_dist_refs	cxx_dist_defaults	cxx_direct_refs	cxx_direct_defaults	cxx_targets	rust_refs	status	notes
Rate.Creature.Aggro	worldserver:server/worldserver/worldserver.conf.dist:1748	worldserver=1	Float:server/game/World/World.cpp:685	Float=1.0f	RATE_CREATURE_AGGRO		missing_in_rust	-
Rate.Creature.Damage.Elite	worldserver:server/worldserver/worldserver.conf.dist:1840	worldserver=1	Float:server/game/World/World.cpp:672	Float=1.0f	RATE_CREATURE_DAMAGE_ELITE		missing_in_rust	-
Rate.Creature.Damage.MinusMob	worldserver:server/worldserver/worldserver.conf.dist:1845	worldserver=1	Float:server/game/World/World.cpp:677	Float=1.0f	RATE_CREATURE_DAMAGE_MINUSMOB		missing_in_rust	-
Rate.Creature.Damage.Normal	worldserver:server/worldserver/worldserver.conf.dist:1839	worldserver=1	Float:server/game/World/World.cpp:671	Float=1.0f	RATE_CREATURE_DAMAGE_NORMAL		missing_in_rust	-
Rate.Creature.Damage.Obsolete	worldserver:server/worldserver/worldserver.conf.dist:1842	worldserver=1	Float:server/game/World/World.cpp:674	Float=1.0f	RATE_CREATURE_DAMAGE_OBSOLETE		missing_in_rust	-
Rate.Creature.Damage.Rare	worldserver:server/worldserver/worldserver.conf.dist:1843	worldserver=1	Float:server/game/World/World.cpp:675	Float=1.0f	RATE_CREATURE_DAMAGE_RARE		missing_in_rust	-
Rate.Creature.Damage.RareElite	worldserver:server/worldserver/worldserver.conf.dist:1841	worldserver=1	Float:server/game/World/World.cpp:673	Float=1.0f	RATE_CREATURE_DAMAGE_RAREELITE		missing_in_rust	-
Rate.Creature.Damage.Trivial	worldserver:server/worldserver/worldserver.conf.dist:1844	worldserver=1	Float:server/game/World/World.cpp:676	Float=1.0f	RATE_CREATURE_DAMAGE_TRIVIAL		missing_in_rust	-
Rate.Creature.HP.Elite	worldserver:server/worldserver/worldserver.conf.dist:1890	worldserver=1	Float:server/game/World/World.cpp:665	Float=1.0f	RATE_CREATURE_HP_ELITE		missing_in_rust	-
Rate.Creature.HP.MinusMob	worldserver:server/worldserver/worldserver.conf.dist:1895	worldserver=1	Float:server/game/World/World.cpp:670	Float=1.0f	RATE_CREATURE_HP_MINUSMOB		missing_in_rust	-
